Branch_Name Customer_Code Customer_Name Customer_Type Category_Name Lat Long Product_Code Product_Description rSales
ECATEPEC 15859 "ABAR CENTRALITO" PLATA RTEC 19.606683 -99.012987 1008043774 "PAKETITO FROOT LOOPS 25GR" 14
ECATEPEC 15861 "ABAR DANY" PLATA RTEC 19.6058 -99.014 1008043774 "PAKETITO FROOT LOOPS 25GR" 9
ECATEPEC 15862 "ABAR DON JUAN" PLATA RTEC 19.60522 -99.01751 1008043774 "PAKETITO FROOT LOOPS 25GR" 36
ECATEPEC 15866 "ABAR JUQUILITA" PLATA RTEC 19.6049 -99.0194 1008043774 "PAKETITO FROOT LOOPS 25GR" 30
ECATEPEC 15869 "ABAR LA POLLITA" PLATA RTEC 19.6072 -99.0143 1008043774 "PAKETITO FROOT LOOPS 25GR" 36
ECATEPEC 15874 "MISC LA ESCONDIDA" PLATA RTEC 19.6057 -99.0154 1008043774 "PAKETITO FROOT LOOPS 25GR" 30
ECATEPEC 15898 "ABAR ARA" PLATA RTEC 19.621492 -99.017887 1008043774 "PAKETITO FROOT LOOPS 25GR" 18
ECATEPEC 15902 "ABAR DON JORGE" PLATA RTEC 19.618689 -99.018045 1008043774 "PAKETITO FROOT LOOPS 25GR" 35
ECATEPEC 15905 "ABAR EL TRIUNFO" PLATA RTEC 19.622342 -99.015105 1008043774 "PAKETITO FROOT LOOPS 25GR" 0
ECATEPEC 15915 "ABAR LA REYNA" PLATA RTEC 19.615695 -99.016817 1008043774 "PAKETITO FROOT LOOPS 25GR" 21
ECATEPEC 15935 "ABAR EL 40" PLATA RTEC 19.627797 -99.018324 1008043774 "PAKETITO FROOT LOOPS 25GR" 16
ECATEPEC 15938 "ABAR EL MILAGRO" PLATA RTEC 19.632426 -99.01735 1008043774 "PAKETITO FROOT LOOPS 25GR" 4
ECATEPEC 15946 "ABAR LA DIVINA PROVIDENCIA" PLATA RTEC 19.629177 -99.014515 1008043774 "PAKETITO FROOT LOOPS 25GR" 72
ECATEPEC 15948 "ABAR LA PASADITA" PLATA RTEC 19.632495 -99.018979 1008043774 "PAKETITO FROOT LOOPS 25GR" 10
ECATEPEC 15962 "MISC MAYRA" PLATA RTEC 19.6308 -99.0199 1008043774 "PAKETITO FROOT LOOPS 25GR" 2
ECATEPEC 16022 "MISC EL ALMENDRON" PLATA RTEC 19.5901 -99.0255 1008043774 "PAKETITO FROOT LOOPS 25GR" 15
ECATEPEC 16034 "MISC SR  LA PRIMAVERA" PLATA RTEC 19.5912 -99.0288 1008043774 "PAKETITO FROOT LOOPS 25GR" 6
ECATEPEC 16048 "ABAR IMPERIO" PLATA RTEC 19.5992 -99.0246 1008043774 "PAKETITO FROOT LOOPS 25GR" 18
ECATEPEC 16118 "MISC LA ESTRELLA 2" PLATA RTEC 19.637656 -99.03982 1008043774 "PAKETITO FROOT LOOPS 25GR" 8
ECATEPEC 16127 "ABAR LOS ANGELES" PLATA RTEC 19.6816 -99.0306 1008043774 "PAKETITO FROOT LOOPS 25GR" 18
